,Algorithm,Num_MTAs,Runtime,Result
174,Backtracking,6,15.725374221801758,1
175,Remembering No Goods,6,0.0,1
176,Backtracking,6,0.0,0
177,Remembering No Goods,6,2.0563602447509766,0
178,Backtracking,6,0.0,0
179,Remembering No Goods,6,0.0,0
180,Backtracking,7,0.0,0
181,Remembering No Goods,7,2.003908157348633,0
182,Backtracking,7,0.0,1
183,Remembering No Goods,7,0.0,1
184,Backtracking,7,0.0,1
185,Remembering No Goods,7,15.626907348632812,1
186,Backtracking,7,0.0,1
187,Remembering No Goods,7,0.0,1
188,Backtracking,7,0.0,1
189,Remembering No Goods,7,0.0,1
190,Backtracking,7,0.0,0
191,Remembering No Goods,7,16.45350456237793,0
192,Backtracking,7,0.0,1
193,Remembering No Goods,7,18.42474937438965,1
194,Backtracking,7,15.770435333251953,1
195,Remembering No Goods,7,0.0,1
196,Backtracking,7,0.0,0
197,Remembering No Goods,7,0.0,0
198,Backtracking,7,0.0,1
199,Remembering No Goods,7,0.0,1
200,Backtracking,7,0.0,1
201,Remembering No Goods,7,8.095264434814453,1
202,Backtracking,7,0.0,1
203,Remembering No Goods,7,0.0,1
204,Backtracking,7,0.3724098205566406,0
205,Remembering No Goods,7,16.465425491333008,0
206,Backtracking,7,0.0,0
207,Remembering No Goods,7,0.0,0
208,Backtracking,7,0.0,1
209,Remembering No Goods,7,0.0,1
210,Backtracking,8,0.0,0
211,Remembering No Goods,8,0.0,0
212,Backtracking,8,0.0,1
213,Remembering No Goods,8,16.37721061706543,1
214,Backtracking,8,0.0,0
215,Remembering No Goods,8,0.0,0
216,Backtracking,8,1.3666152954101562,1
217,Remembering No Goods,8,15.669584274291992,1
218,Backtracking,8,0.0,1
219,Remembering No Goods,8,8.117437362670898,1
220,Backtracking,8,15.664339065551758,1
221,Remembering No Goods,8,0.0,1
222,Backtracking,8,0.0,0
223,Remembering No Goods,8,2.1164417266845703,0
224,Backtracking,8,0.0,1
225,Remembering No Goods,8,0.0,1
226,Backtracking,8,0.0,0
227,Remembering No Goods,8,0.0,0
228,Backtracking,8,0.0,0
229,Remembering No Goods,8,15.708208084106445,0
230,Backtracking,8,2.2199153900146484,1
231,Remembering No Goods,8,0.0,1
232,Backtracking,8,0.0,0
233,Remembering No Goods,8,0.0,0
234,Backtracking,8,0.0,1
235,Remembering No Goods,8,9.34290885925293,1
236,Backtracking,8,15.708684921264648,1
237,Remembering No Goods,8,0.0,1
238,Backtracking,8,0.0,0
239,Remembering No Goods,8,8.030176162719727,0
240,Backtracking,9,0.0,0
241,Remembering No Goods,9,9.580850601196289,0
242,Backtracking,9,8.207321166992188,1
243,Remembering No Goods,9,18.822431564331055,1
244,Backtracking,9,0.0,0
245,Remembering No Goods,9,15.622377395629883,0
246,Backtracking,9,8.032560348510742,1
247,Remembering No Goods,9,0.0,1
248,Backtracking,9,0.0,1
249,Remembering No Goods,9,7.96818733215332,1
250,Backtracking,9,15.621185302734375,1
251,Remembering No Goods,9,5.090475082397461,1
252,Backtracking,9,0.0,1
253,Remembering No Goods,9,0.0,1
254,Backtracking,9,0.0,0
255,Remembering No Goods,9,0.0,0
256,Backtracking,9,0.0,0
257,Remembering No Goods,9,16.429424285888672,0
258,Backtracking,9,0.0,0
259,Remembering No Goods,9,15.62356948852539,0
